match_id,match_date,recovery_time,recovery_x,recovery_y,recovery_player,recovery_player_id,time_to_attack,vert_progression,progression_speed,first_action_type,action_player
5674994,2025-04-04,2009432,44.0,34.0,J. Zigiotti Olme,226313,5.247,-15.0,-2.858776443682104,pass,T. Eriksson
5674994,2025-04-04,2016931,41.0,4.0,F. Rolfö,52410,9.456,1.0,0.10575296108291032,free_kick,
5674994,2025-04-04,2060703,79.0,76.0,K. Asllani,52644,7.007,-5.0,-0.7135721421435708,pass,J. Zigiotti Olme
5674994,2025-04-04,2075952,69.0,79.0,F. Angeldahl,212489,0.825,-3.0,-3.6363636363636367,pass,F. Angeldahl
5674994,2025-04-04,2084555,92.0,37.0,S. Blackstenius,248583,2.759,-2.0,-0.7249003262051468,pass,S. Blackstenius
5674994,2025-04-04,2122654,90.0,89.0,H. Lundkvist,571908,2.132,6.0,2.8142589118198873,pass,H. Lundkvist
5674994,2025-04-04,2245670,21.0,34.0,J. Andersson,52072,2.445,7.0,2.8629856850715747,pass,F. Rolfö
5674994,2025-04-04,2295917,60.0,22.0,J. Zigiotti Olme,226313,1.97,-15.0,-7.614213197969543,pass,J. Andersson
5674994,2025-04-04,2333176,78.0,40.0,F. Angeldahl,212489,1.335,7.0,5.2434456928838955,shot,F. Angeldahl
5674994,2025-04-04,2336230,84.0,61.0,J. Rytting Kaneryd,248585,2.687,-4.0,-1.48864905098623,pass,J. Rytting Kaneryd
5674994,2025-04-04,2378251,40.0,62.0,,0,0.25,-8.0,-32.0,pass,J. Zigiotti Olme
5674994,2025-04-04,2632438,12.0,83.0,,0,1.1,2.0,1.8181818181818181,pass,J. Zigiotti Olme
5674994,2025-04-04,2730154,44.0,45.0,T. Eriksson,1064015,1.162,44.0,37.86574870912221,pass,K. Asllani
5674994,2025-04-04,2805678,21.0,24.0,T. Eriksson,1064015,0.76,0.0,0.0,pass,T. Eriksson
5674994,2025-04-04,2850075,91.0,63.0,N. Björn,212490,1.546,-2.0,-1.2936610608020698,shot,F. Rolfö
5674994,2025-04-04,2727423,91.0,88.0,J. Rytting Kaneryd,248585,2.645,-4.0,-1.5122873345935728,pass,J. Rytting Kaneryd
5674994,2025-04-04,2879729,50.0,88.0,N. Björn,212490,8.166,-16.0,-1.9593436198873377,pass,N. Björn
5674994,2025-04-04,2885648,42.0,67.0,J. Zigiotti Olme,226313,2.247,-8.0,-3.5603026257231867,pass,N. Björn
5674994,2025-04-04,2923529,78.0,35.0,J. Zigiotti Olme,226313,2.66,-12.0,-4.511278195488722,pass,F. Angeldahl
5674994,2025-04-04,2929257,79.0,50.0,S. Blackstenius,248583,0.845,0.0,0.0,shot,S. Blackstenius
5674994,2025-04-04,3020997,19.0,70.0,H. Lundkvist,571908,5.375,-8.0,-1.4883720930232558,pass,J. Falk
5674994,2025-04-04,3278582,71.0,92.0,K. Asllani,52644,2.272,4.0,1.7605633802816902,pass,J. Rytting Kaneryd
5674994,2025-04-04,3292002,73.0,27.0,J. Andersson,52072,4.182,-4.0,-0.9564801530368244,pass,J. Andersson
5674994,2025-04-04,3433634,23.0,19.0,J. Andersson,52072,1.999,7.0,3.5017508754377187,pass,F. Rolfö
5674994,2025-04-04,3646020,55.0,66.0,N. Björn,212490,2.043,2.0,0.978952520802741,pass,F. Angeldahl
5674994,2025-04-04,3878382,49.0,78.0,K. Asllani,52644,4.031,-15.0,-3.721161002232697,pass,F. Angeldahl
5674994,2025-04-04,3880643,31.0,81.0,N. Björn,212490,1.77,3.0,1.694915254237288,pass,F. Angeldahl
5674994,2025-04-04,4020996,14.0,35.0,T. Eriksson,1064015,2.35,10.0,4.25531914893617,pass,F. Rolfö
5674994,2025-04-04,4037298,14.0,33.0,T. Eriksson,1064015,8.661,34.0,3.925643690105069,pass,J. Rytting Kaneryd
5674994,2025-04-04,4152934,11.0,56.0,T. Eriksson,1064015,4.034,7.0,1.7352503718393655,pass,K. Asllani
5674994,2025-04-04,4154892,22.0,45.0,,0,2.076,-4.0,-1.9267822736030829,pass,K. Asllani
5674994,2025-04-04,4167063,46.0,93.0,F. Angeldahl,212489,1.711,-9.0,-5.260081823495032,pass,H. Lundkvist
5674994,2025-04-04,4290156,96.0,50.0,T. Eriksson,1064015,2.211,-8.0,-3.6182722749886933,pass,F. Angeldahl
5674994,2025-04-04,4370409,53.0,77.0,N. Björn,212490,1.287,-10.0,-7.77000777000777,pass,T. Eriksson
5674994,2025-04-04,4594688,77.0,77.0,R. Blomqvist,271524,6.468,-17.0,-2.6283240568954853,pass,J. Andersson
